frame,passer,receiver
16692,15459,15558
16699,15558,15603
16724,15603,15597
16727,15597,15639
16731,15639,15603
16737,15603,15642
16765,15603,15597
16775,15600,15603
16794,15603,15602
16814,15602,15599
16818,15599,15598
16826,15598,15599
16844,15618,15688
16865,15688,15600
16868,15600,15688
16873,15688,15702
16877,15702,15708
16906,15708,15710
16914,15710,15753
16935,15753,15717
16977,15753,15985
16986,16000,16016
17018,16000,16019
17027,16084,16080
17033,16019,16090
17038,16090,16019
17054,16099,16100
17061,16100,16099
17066,16100,16099
17082,16099,16101
17087,16099,16101
17095,16099,16101
17101,16099,16104
17107,16104,16101
17123,16104,16129
17160,16129,16196
17166,16199,16200
17171,16200,16199
17181,16199,16221
17186,16221,16200
17305,16200,16317
17319,16320,16351
17340,16351,16320
17343,16320,16351
17360,16351,16320
17370,16320,16381
17385,16381,16380
17421,16380,16381
17427,16380,16473
17452,16473,16474
17483,16474,16490
17493,16490,16475
17504,16475,16568
17523,16568,16487
17530,16587,16487
17538,16587,16595
17547,16587,16509
17552,16509,16587
17571,16509,16516
17576,16516,16509
17585,16509,16516
17605,16509,16516
17617,16516,16509
17624,16516,16663
17670,16509,16587
17685,16587,16663
17700,16478,16474
17704,16478,16691
17713,16474,16691
17716,16691,16474
17722,16474,16478
17725,16478,16474
17728,16474,16478
17737,16474,16478
17744,16478,16474
17761,16474,16478
17808,16474,16749
17879,16474,16718
17884,16474,16803
17887,16803,16692
17901,16474,16718
17908,16718,16587
17916,16587,16718
17962,16587,16821
17981,16821,16587
18034,16587,16541
18040,16541,16509
18046,16509,16831
18058,16831,16509
18062,16509,16829
18067,16509,16861
18080,16861,16928
18086,16928,16829
18089,16829,16509
18109,16509,16893
18115,16587,16893
18131,16587,16541
18153,16541,16587
18186,16587,16893
18199,16893,16829
18233,16893,17007
18244,17007,16856
18251,16856,17007
18265,17007,16856
18273,16856,17007
18282,16856,17007
18286,17007,16856
18292,16856,17007
18320,17007,16864
18323,16864,17007
18337,16930,16893
18342,16930,16893
18367,16893,16587
18389,16893,16864
18414,16864,17128
18420,17128,16930
18452,17128,16829
18466,16829,17128
18478,17128,17280
18485,17283,17281
18498,17280,17309
18501,17309,17280
18504,17280,17332
18533,17280,17400
18566,17280,17461
18591,17461,17458
18599,17461,17458
18626,17458,17532
18631,17532,17458
18680,17458,17532
18693,17532,17471
18698,17471,17470
18711,17470,17570
18720,17570,17465
18729,17465,17570
18761,17613,17639
18773,17639,17630
18790,17630,17614
18854,17614,17619
18891,17614,17620
18923,17620,17639
18938,17639,17619
18951,17619,17639
18983,17616,17613
18988,17613,17630
18996,17630,17613
19000,17613,17735
19004,17735,17630
19012,17630,17735
19016,17735,17808
19024,17735,17630
19033,17735,17808
19043,17808,17630
19069,17808,17735
19089,17735,17630
19092,17630,17735
19122,17735,17991
19129,17991,17735
19147,17735,18028
19153,18028,18031
19170,18056,18068
19192,18088,18153
19199,18031,18088
19213,18088,18229
19225,18229,18286
19251,18291,18288
19259,18288,18291
19264,18291,18391
19268,18391,18395
19282,18399,18413
19301,18413,18453
19318,18503,18413
19327,18413,18538
19337,18413,18591
19479,18591,18742
19556,18769,18772
19581,18772,18841
19605,18841,18783
19623,18783,18791
19634,18783,18786
19650,18786,18867
19653,18867,18786
19665,18786,18771
19673,18851,18901
19677,18901,18771
19687,18901,18780
19704,18780,18901
19718,18901,18916
19747,18780,18998
19751,18998,19016
19755,18780,18782
19767,18782,18783
19785,18783,18979
19801,18979,18998
19825,18998,19003
19831,19003,18955
19872,19047,19003
19884,19003,18998
19902,18998,19115
19929,18998,19003
19947,18998,19003
19957,19039,18979
19963,19039,19279
19974,19279,18979
20000,18979,19148
20006,19148,19307
20015,19279,19072
20020,19072,19279
20030,19279,19318
20047,19279,19337
20057,19337,19336
20074,19227,19370
20078,19227,19003
20117,19381,19391
20122,19381,19397
20163,19397,19413
20175,19397,19405
20199,19397,19493
20228,19493,19504
20245,19493,19504
20254,19493,19504
20260,19504,19493
20298,19520,19493
20303,19493,19520
20372,19520,19539
20389,19539,19599
20395,19539,19599
20403,19599,19539
20409,19539,19599
20427,19539,19567
20435,19567,19605
20463,19605,19663
20472,19663,19678
20486,19678,19663
20496,19663,19678
20509,19663,19678
20535,19663,19678
20569,19678,19715
20572,19715,19678
20584,19715,19725
20606,19725,19753
20611,19753,19729
20667,19753,19775
20725,19775,19750
20730,19775,19750
20762,19775,19782
20788,19775,19848
20799,19848,19782
20806,19782,19747
20823,19747,19735
20855,19856,19735
20864,19735,19856
20873,19856,19919
20876,19919,19856
20882,19856,19919
20889,19856,19919
20892,19919,19856
20912,19856,19747
20922,19747,19735
20934,19735,19747
20950,19747,19746
20955,19746,19735
20970,19735,20059
20973,20059,19735
20981,19735,20059
20990,20059,19747
20993,19747,19782
21013,19782,19747
21026,19747,20068
21039,19747,20068
21051,20068,20201
21073,20201,20068
21079,20068,20139
21084,20139,20135
21089,20135,20226
21122,20226,20135
21134,20135,20139
21143,20139,20266
21156,20266,20139
21171,20266,20139
21176,20266,20139
21200,20139,20135
21206,20139,20135
21222,19782,20278
21226,19782,20278
21234,20278,19782
21240,20278,19782
21264,19782,20225
21275,19782,20225
21302,19782,19856
21306,19782,19856
21316,20320,19735
21320,20320,19856
21324,20320,19735
21349,19735,19746
21358,19746,20226
21361,20226,19746
21371,20226,19856
21374,19856,20226
21388,20446,20322
21398,20322,19735
21408,20322,19735
21415,20322,19735
21424,20446,20322
21436,20322,20150
21439,20150,20322
21454,20322,19735
21459,20322,19735
21502,20322,20524
21508,20524,20322
21524,20322,20524
21535,20524,20322
21541,20322,20139
21550,20139,20524
21554,20139,20524
21569,20524,20445
21604,20445,20560
21613,20560,20445
21624,20139,20322
21633,20322,20719
21650,20719,20698
21656,20698,20728
21674,20728,20666
21685,20778,20322
21712,20322,20698
21719,20597,20851
21747,20851,20925
21751,20925,20935
21770,20935,20859
21773,20859,20935
21785,20935,20859
21788,20859,20935
21796,20935,20859
21807,20859,20925
21817,20925,20963
21824,20963,20925
21827,20925,20719
21856,20719,20963
21872,20963,20322
21883,20322,20963
21899,20963,20322
21902,20322,20982
21920,20982,21015
21950,21015,20982
21967,20982,20928
21976,20928,20982
21994,20982,21015
21999,21015,20322
22032,20982,20322
22039,20982,20999
22047,20982,20999
22079,20982,20322
22083,20982,20719
22099,20982,20963
22112,20982,21028
22117,21028,20982
22127,20982,21109
22140,21109,20322
22167,20322,20597
22171,20597,20322
22190,20322,21178
22232,20322,20982
22235,20982,20322
22247,20322,21109
22297,21109,21267
22312,21267,20322
22320,20322,21332
22327,21332,21267
22353,21267,21332
22395,20928,21332
22407,21332,21109
22427,21332,21109
22432,21109,21332
22534,21095,21347
22542,21347,21488
22562,21347,21488
22585,21404,21347
22633,21347,21403
22657,21403,21347
22681,21347,21643
22704,21643,21706
22716,21706,21699
22728,21699,20963
22735,21404,21488
22738,21488,21404
22743,21403,21404
22747,21404,21555
